parameter,reaction,confidence,role,fractional_perturbation,observable,normalized_sensitivity,minus_value,plus_value,status,perturbation_induced_absolute_difference,empirical_numerical_floor,difference_to_floor_ratio,resolution_status
k5_DKE,R5,GLOBAL_FIT,forward,0.005,mean_period_s,-0.15939778500581905,527.2906718246871,526.4508446853977,OK,0.8398271392894685,0.00029656925937615597,2831.807791057222,RESOLVED
k5_DKE,R5,GLOBAL_FIT,forward,0.005,iodine_peak_M,-0.607023490672931,0.00026095229058838544,0.00025937303380371013,OK,1.5792567846753167e-06,5.347989304009537e-12,295299.16664031165,RESOLVED
k5_DKE,R5,GLOBAL_FIT,forward,0.005,iodide_min_M,0.07918526502341182,9.318551556500011e-11,9.325933460066886e-11,OK,7.381903566874575e-14,5.97183587233158e-17,1236.1196330053294,RESOLVED
k5_DKE,R5,GLOBAL_FIT,forward,0.005,iodide_max_M,-0.19004668049762027,8.379508214054376e-06,8.36359822725696e-06,OK,1.5909986797416024e-08,1.4818695722547057e-13,107364.28559774351,RESOLVED
k5_DKE,R5,GLOBAL_FIT,forward,0.01,mean_period_s,-0.15939696896868924,527.7142372369476,526.034539058162,OK,1.6796981787856566,0.00029656925937615597,5663.763608942349,RESOLVED
k5_DKE,R5,GLOBAL_FIT,forward,0.01,iodine_peak_M,-0.6070174322871684,0.0002617498111293227,0.00025859118408717147,OK,3.1586270421512337e-06,5.347989304009537e-12,590619.5511242184,RESOLVED
k5_DKE,R5,GLOBAL_FIT,forward,0.01,iodide_min_M,0.07918580592287786,9.314838708832291e-11,9.329602949287543e-11,OK,1.4764240455252112e-13,5.97183587233158e-17,2472.311826863339,RESOLVED
k5_DKE,R5,GLOBAL_FIT,forward,0.01,iodide_max_M,-0.19004275652353983,8.387490563818598e-06,8.355670376845392e-06,OK,3.182018697320572e-08,1.4818695722547057e-13,214730.01112230425,RESOLVED
k5_DKE,R5,GLOBAL_FIT,forward,0.02,mean_period_s,-0.1593955674428424,528.5687667714858,525.2089800968208,OK,3.3597866746649743,0.00029656925937615597,11328.843325611042,RESOLVED
k5_DKE,R5,GLOBAL_FIT,forward,0.02,iodine_peak_M,-0.6069930256507482,0.0002633609249857402,0.00025704276469186926,OK,6.318160293870953e-06,5.347989304009537e-12,1181408.5508985687,RESOLVED
k5_DKE,R5,GLOBAL_FIT,forward,0.02,iodide_min_M,0.07918493548288154,9.307368902421715e-11,9.336899719751493e-11,OK,2.953081732977835e-13,5.97183587233158e-17,4945.014893426508,RESOLVED
k5_DKE,R5,GLOBAL_FIT,forward,0.02,iodide_max_M,-0.19002707169906446,8.403510509907259e-06,8.339868424464057e-06,OK,6.364208544320215e-08,1.4818695722547057e-13,429471.57182240376,RESOLVED
k6_DKE,R6,GLOBAL_FIT,forward,0.005,mean_period_s,0.33523927440625073,525.9847676833878,527.7510489011192,OK,1.766281217731489,0.00029656925937615597,5955.712407438737,RESOLVED
k6_DKE,R6,GLOBAL_FIT,forward,0.005,iodine_peak_M,1.1670127408546622,0.0002586407098425571,0.0002616767864228989,OK,3.036076580341775e-06,5.347989304009537e-12,567704.3104902143,RESOLVED
k6_DKE,R6,GLOBAL_FIT,forward,0.005,iodide_min_M,-0.1361268435435271,9.32862610959716e-11,9.315935878940433e-11,OK,1.2690230656727356e-13,5.97183587233158e-17,2125.0133004363224,RESOLVED
k6_DKE,R6,GLOBAL_FIT,forward,0.005,iodide_max_M,0.3654375571848083,8.35617095286289e-06,8.3867636593818e-06,OK,3.059270651890994e-08,1.4818695722547057e-13,206446.68796567761,RESOLVED
